row_index,meteo_rain_height,meteo_evapotranspiration_grid,meteo_sunshine_%,meteo_temperature_avg,meteo_temperature_min,meteo_temperature_max,meteo_humidity_avg,meteo_humidity_min,meteo_pressure_avg,meteo_frost_duration,meteo_humidity_duration_below_40%,meteo_humidity_duration_above_80%,meteo_radiation_direct,meteo_radiation,meteo_if_snow,meteo_snow_height,meteo_snow_thickness_max,piezo_station_investigation_depth,piezo_station_altitude,piezo_station_longitude,piezo_station_latitude,piezo_obtention_mode,total_volume,largest_ratio,volume_mean,volume_variance,mean_longitude,mean_latitude,measurement_type_ratio,drinking_water_count,irrigation_count,industry_count,energy_count,channels_count,turbined_water_count,usage_CANAUX,usage_EAU POTABLE,usage_EAU TURBINEE (barrage),usage_ENERGIE,"usage_INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",usage_IRRIGATION
0,0.2,0.5,14.958208955223881,0.7,-1.6,3.9,94.0,82.0,1031.0110429447852,577.0,0.0,1440.0,208.81578947368422,344.46149253731346,0.0,0.0,0.0,20.0,232.0,5.74824091305697,45.8281483770952,Valeur mesurée,33525466124.0,0.32044730400658816,10577470273.666666,3.35020331975454e+16,5.781057085083209,45.85418460756987,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
1,0.0,0.2,0.0,-1.2,-2.2,0.0,97.0,97.0,1034.4,1440.0,0.0,1440.0,208.81578947368422,184.0,0.0,0.0,0.0,35.6,247.25,5.35663675229116,46.0281018091017,Valeur mesurée,17601490296.0,0.7097135552686044,5505455255.666667,3.664667162792101e+19,5.430911816259202,46.058639922804105,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
2,,0.0,14.958208955223881,-0.6,-1.4,0.6,99.0,99.0,,1228.0,0.0,1440.0,208.81578947368422,344.46149253731346,0.0,0.0,0.0,35.22,218.77,5.22079494499652,45.8957342695518,Valeur mesurée,15143673369.0,0.824900006201395,4920874730.0,4.318276435132069e+19,5.254626296333674,45.82152225344306,0.0,0,0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0
3,0.0,0.9,67.4026402640264,0.4,-2.3,7.7,68.0,58.09574468085106,1031.8083686440677,,13.144596651445967,659.5372907153729,1306.0,643.0,,,0.0,34.2,499.85,5.948977061757,46.2011796846287,Valeur mesurée,14615124435.0,0.7104209516092294,4745011109.333333,2.6872790648067584e+19,5.863927324811439,46.19312688370303,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
4,0.0,0.1,14.958208955223881,-0.8,-2.1,0.4,90.17138434321097,77.01987632508833,1031.8083686440677,1103.0,1.009281767955801,1232.2566880389122,208.81578947368422,344.46149253731346,0.0,0.0,0.0,37.3,260.0,5.31335279619436,46.1364022022903,Valeur mesurée,4970323820.0,0.4438744345232621,1650219170.3333333,4.3068120628701376e+17,5.4213350744146345,46.13458136236193,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
5,0.0,0.9,90.0,3.5,-0.6,10.1,64.0,38.0,1031.8083686440677,339.0,21.0,362.0,1306.0,699.0,0.0,0.0,0.0,50.0,250.0,5.67968965768233,45.8747379515159,Valeur mesurée,43207177080.0,0.24864260896074258,10578105576.0,3.3128760798271116e+16,5.819026585754666,45.96335692290946,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
6,0.0,0.2,0.0,-1.2,-2.2,0.0,97.0,97.0,1034.4,1440.0,0.0,1440.0,208.81578947368422,184.0,0.0,0.0,0.0,21.0,208.21,5.28515582463829,45.8373966492216,Valeur mesurée,15148115797.0,0.8246580910395452,4920874730.0,4.318276435132069e+19,5.254626296333674,45.82152225344306,0.0,0,0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0
7,0.0,0.3,0.0,0.5,-0.5,1.5,95.0,89.0,1031.8083686440677,379.0,0.0,1440.0,208.81578947368422,131.0,0.0,0.0,0.0,78.0,558.68,6.06971045433496,46.3290304971764,Valeur mesurée,3934963561.0,0.9320984926904639,1261323768.3333333,4.3432682695442586e+18,5.901618809681676,46.3167781339506,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
8,0.0,0.2,36.0,-0.4,-2.9,4.7,93.0,76.0,1031.8083686440677,1065.0,0.0,1359.0,208.81578947368422,425.0,0.0,0.0,0.0,10.0,250.45,5.82327427421463,45.9196304800455,Valeur mesurée,33947505524.0,0.31646346525829055,10578105576.0,3.3128760798271116e+16,5.819026585754666,45.96335692290946,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0
9,0.0,0.1,14.958208955223881,-0.3,-1.5,0.3,90.17138434321097,77.01987632508833,1031.8083686440677,993.0,1.009281767955801,1232.2566880389122,208.81578947368422,344.46149253731346,0.0,0.0,0.0,62.6,265.22,4.83075421003292,46.018340873965,Valeur mesurée,2724014010.0,0.6846781364388064,898269958.0,8.692738871750794e+17,4.775151042632109,45.98777568022095,0.0,0,0,0,0,0,0,0.0,1.0,2.0,0.0,0.0,0.0
